id,Data,Tipo,Notas,idVeiculo
1,2017-09-11 00:00:00.0,Mudança de oleo,null,1
2,2017-09-11 00:00:00.0,Reconstruçao de carro,portas com ferrugem e motor tem fuga num dos pistoes,4
3,2017-09-11 00:00:00.0,Mudança de travoes,null,2
4,2017-09-12 00:00:00.0,Limpeza dos filtros do ar,null,10
5,2017-09-12 00:00:00.0,Arranjo de para-brisas,null,11
6,2017-09-12 00:00:00.0,Substituiçao de vidros,null,3
7,2017-09-12 00:00:00.0,Reconstruçao de carro,para-choques e capo empenado e direçao desalinhada,21
8,2017-09-12 00:00:00.0,Arranjo de para-brisas,null,9
9,2017-09-12 00:00:00.0,Troca de pneus,null,22
10,2017-09-13 00:00:00.0,Reparo de portas,null,5
11,2017-09-13 00:00:00.0,Reparo de motor,Substituiçao de velas do motor,6
12,2017-09-13 00:00:00.0,Substituiçao de corrente,corrente demasiado gasta,7
13,2017-09-13 00:00:00.0,Nova embraiagem,Embraiagem rompida,8
14,2017-09-14 00:00:00.0,Pintura de carro,null,12
15,2017-09-14 00:00:00.0,Reparo de motor,uso de aditivo fora dos padroes estabelecidos pela montadora,13
16,2017-09-15 00:00:00.0,Arranjo de travao-de-mao,Travao de mao avariado,14
17,2017-09-16 00:00:00.0,Reparo na direçao,null,17
18,2017-09-17 00:00:00.0,Mudança de oleo,null,15
19,2017-09-17 00:00:00.0,Pintura de carro,null,16
20,2017-09-18 00:00:00.0,Limpeza do filtro de particulas,null,20
21,2017-09-19 00:00:00.0,Mudança de liquido de refrigeraçao,null,19
22,2017-09-20 00:00:00.0,Troca de pneus,null,21
23,2017-09-21 00:00:00.0,Jantes novas,null,18
24,2017-09-22 00:00:00.0,Novo motor,entrada de agua no motor,23
25,2017-09-22 00:00:00.0,Reparo de portas,null,24
26,2017-09-22 00:00:00.0,Limpeza do filtro de particulas,null,25
27,2017-09-22 00:00:00.0,Substituiçao de corrente,corrente demasiado gasta,20
28,2017-09-22 00:00:00.0,Nova embraiagem,Embraiagem rompida,26
29,2017-09-24 00:00:00.0,Limpeza dos filtros do ar,null,30
30,2017-09-25 00:00:00.0,Mudança de oleo,null,35
31,2017-09-26 00:00:00.0,Mudança de oleo de travoes,null,14
32,2017-09-27 00:00:00.0,Substituiçao de calços,null,27
33,2017-09-30 00:00:00.0,Reparo de motor,novas velas,28
34,2017-10-02 00:00:00.0,Arranjo na caixa automatica,caixa nao desmultiplica,29
35,2017-10-03 00:00:00.0,Reparo de roda,null,33
36,2017-10-03 00:00:00.0,Reconstruçao de carro,Carro completamente desfeito e devido a um acidente,34
37,2017-10-04 00:00:00.0,Arranjo de para-brisas,null,32
38,2017-10-05 00:00:00.0,Substituiçao de vidros,null,31
39,2017-10-05 00:00:00.0,Mudança de travoes,null,36
40,2017-10-05 00:00:00.0,Nova embraiagem,embraiagem rompida,37
41,2017-10-05 00:00:00.0,Reparo de roda,problema no rolamento da roda traseira.,40
42,2017-10-07 00:00:00.0,Jantes novas,null,38
43,2017-10-07 00:00:00.0,Mudança de liquido de refrigeraçao,null,39
44,2017-10-09 00:00:00.0,Novo motor,Entrada de agua no motor.,38
45,2017-10-10 00:00:00.0,Substituiçao de vidros,null,1
46,2017-10-12 00:00:00.0,Substituiçao de calços,null,4
47,2017-10-12 00:00:00.0,Pintura de carro,null,19
48,2017-10-12 00:00:00.0,Troca de pneus,null,22
49,2017-10-13 00:00:00.0,Reparo de motor,Mudança de velas.,40
50,2017-10-14 00:00:00.0,Troca de pneus,null,11
51,2017-10-16 00:00:00.0,Limpeza dos filtros do ar,null,16
52,2017-10-19 00:00:00.0,Limpeza do filtro de particulas,null,29
53,2017-10-22 00:00:00.0,Mudança de oleo,null,35
54,2017-10-24 00:00:00.0,Arranjo na caixa manual,Barulho na mudança 5.,9
55,2017-10-27 00:00:00.0,Arranjo na caixa automatica,caixa nao desmultiplica.,31
56,2017-10-31 00:00:00.0,Novo para-choques,null,26
57,2017-11-01 00:00:00.0,Reparo de portas,null,18
58,2017-11-02 00:00:00.0,Reparo de roda,ma fixaçao no eixo.,7
59,2017-11-03 00:00:00.0,Jantes novas,null,10
60,2017-11-06 00:00:00.0,Reconstruçao de carro,Motor estragado e eixo traseiro sem coordenaçao e traseira do carro desfeita.,8
