id,Marca,Modelo,Matricula
1,Hyundai,Elantra,9OYNM0XN
2,Ford,Econoline E150,LUV8X8MH
3,Mazda,B-Series Plus,PONEVZJK
4,GMC,Sonoma,7VDPUTU0
5,Oldsmobile,Alero,X7SQOJ4N
6,Lotus,Esprit,MSF57YZI
7,Honda,Odyssey,KZGK3XX4
8,BMW,530,732JAMR0
9,Cadillac,CTS-V,CYEA2I65
10,Audi,200,SHH8039K
11,GMC,Savana 3500,JCHGF6E9
12,Saturn,S-Series,EYBNE1UH
13,Mercedes-Benz,R-Class,5DKS8J9H
14,Audi,Quattro,CQOXPP3A
15,Hyundai,Elantra,57O8C704
16,Buick,Park Avenue,EZXG4VRK
17,Lincoln,Navigator,JYZGG2Q0
18,Chrysler,Concorde,E8PNOU5Y
19,Porsche,Boxster,PIO1VKQA
20,Lexus,GX,U36DOCVU
21,Mercury,Milan,H4TM1AK3
22,Oldsmobile,Silhouette,PVYW89UM
23,Buick,Special,TD2UHWFT
24,GMC,Sierra,Y0X7LRTR
25,Mercedes-Benz,W201,006F2BPY
26,Mitsubishi,Pajero,1LUYFPEF
27,Ford,Econoline E250,LJVWF1TD
28,Mercedes-Benz,500E,PL2UGY35
29,Volkswagen,Jetta,RL68RR95
30,Dodge,Dakota,KNF63ZM6
31,BMW,M,XIU0H1G0
32,Ford,Escort,QTD2P2C5
33,Bentley,Continental Super,ROES79KE
34,Mitsubishi,Eclipse,L7KLAWVP
35,Toyota,Tacoma Xtra,6Q982ARJ
36,Honda,Odyssey,HUDRANKH
37,Hyundai,Elantra,4QF38E8M
38,Volkswagen,Scirocco,U2XGLJL2
39,Chevrolet,Corvette,CN7X52VV
40,Buick,Regal,NNPAZE1Z
